No.,TimeStamp(UNIX),Latitude,Longitude,SSID,Channel,RSSI(dBm)
1,1600939484,35.1586861,136.9240478,AAA001,5,-74
2,1600939484,35.1586861,136.9240478,AAA001,5,-74
3,1600939485,35.1586861,136.9240478,AAA001,5,-74
4,1600939486,35.1586861,136.9240478,AAA001,5,-74
5,1600939486,35.1586861,136.9240478,AAA001,5,-74
6,1600939487,35.1586861,136.9240478,AAA001,5,-74
7,1600939488,35.1586861,136.9240478,AAA001,5,-74
8,1600939489,35.1586861,136.9240478,AAA001,5,-74
9,1600939489,35.1586861,136.9240478,AAA001,5,-74
10,1600939490,35.1586861,136.9240478,AAA001,5,-74
11,1600939491,35.1586861,136.9240478,AAA001,5,-74
12,1600939491,35.1586861,136.9240478,AAA001,5,-74
13,1600939492,35.1586861,136.9240478,AAA001,5,-74
14,1600939493,35.1586861,136.9240478,AAA001,5,-74
15,1600939494,35.1586861,136.9240478,AAA001,5,-74
16,1600939494,35.1586861,136.9240478,AAA001,5,-74
17,1600939495,35.1586861,136.9240478,AAA001,5,-74
18,1600939496,35.1586861,136.9240478,AAA001,5,-74
19,1600939496,35.1586861,136.9240478,AAA001,5,-74
20,1600939497,35.1586861,136.9240478,AAA001,5,-74
21,1600939498,35.1586861,136.9240478,AAA001,5,-74
22,1600939498,35.1586861,136.9240478,AAA001,5,-74
23,1600939499,35.1586861,136.9240478,AAA001,5,-74
24,1600939500,35.1586861,136.9240478,AAA001,5,-74
25,1600939501,35.1586861,136.9240478,AAA001,5,-74
26,1600939501,35.1586861,136.9240478,AAA001,5,-74
27,1600939502,35.1586861,136.9240478,AAA001,5,-74
28,1600939503,35.1586861,136.9240478,AAA001,5,-74
29,1600939503,35.1586861,136.9240478,AAA001,5,-74
30,1600939504,35.1586861,136.9240478,AAA001,5,-74
31,1600939505,35.1586861,136.9240478,AAA001,5,-74
32,1600939505,35.1586861,136.9240478,AAA001,5,-74
33,1600939506,35.1586861,136.9240478,AAA001,5,-74
34,1600939507,35.1586861,136.9240478,AAA001,5,-74
35,1600939507,35.1586861,136.9240478,AAA001,5,-74
36,1600939508,35.1586861,136.9240478,AAA001,5,-74
