No.,TimeStamp(UNIX),Latitude,Longitude,SSID,Channel,RSSI(dBm),,
1,1600943403,35.1586987,136.9240287,AAA001,5,-77,,
2,1600943404,35.1586987,136.9240287,AAA001,5,-77,,
3,1600943404,35.1586987,136.9240287,AAA001,5,-77,,
4,1600943405,35.1586987,136.9240287,AAA001,5,-77,,
5,1600943406,35.1586987,136.9240287,AAA001,5,-77,,
6,1600943406,35.1586987,136.9240287,AAA001,5,-77,,
7,1600943407,35.1586987,136.9240287,AAA001,5,-77,,
8,1600943408,35.1586987,136.9240287,AAA001,5,-77,,
9,1600943408,35.1586987,136.9240287,AAA001,5,-77,,
10,1600943409,35.1586987,136.9240287,AAA001,5,-77,,
11,1600943410,35.1586987,136.9240287,AAA001,5,-77,,
12,1600943411,35.1586987,136.9240287,AAA001,5,-77,,
13,1600943411,35.1586987,136.9240287,AAA001,5,-77,,
14,1600943412,35.1586987,136.9240287,AAA001,5,-77,,
15,1600943413,35.1586987,136.9240287,AAA001,5,-77,,
16,1600943413,35.1586987,136.9240287,AAA001,5,-77,,
17,1600943414,35.1586987,136.9240287,AAA001,5,-77,,
18,1600943415,35.1586987,136.9240287,AAA001,5,-77,,
19,1600943416,35.1586987,136.9240287,AAA001,5,-77,,
20,1600943416,35.1586987,136.9240287,AAA001,5,-77,,
21,1600943417,35.1586987,136.9240287,AAA001,5,-77,,
22,1600943418,35.1586987,136.9240287,AAA001,5,-77,,
23,1600943418,35.1586987,136.9240287,AAA001,5,-77,,
24,1600943419,35.1586987,136.9240287,AAA001,5,-77,,
25,1600943420,35.1586987,136.9240287,AAA001,5,-77,,
26,1600943421,35.1586987,136.9240287,AAA001,5,-77,,
27,1600943421,35.1586987,136.9240287,AAA001,5,-77,,
28,1600943422,35.1586987,136.9240287,AAA001,5,-77,,
29,1600943423,35.1586987,136.9240287,AAA001,5,-77,,
30,1600943424,35.1586987,136.9240287,AAA001,5,-77,,
31,1600943424,35.1586987,136.9240287,AAA001,5,-77,,
32,1600943425,35.1586987,136.9240287,AAA001,5,-77,,
33,1600943426,35.1586987,136.9240287,AAA001,5,-77,,
34,1600943426,35.1586987,136.9240287,AAA001,5,-77,,
35,1600943427,35.1586987,136.9240287,AAA001,5,-77,,
36,1600943428,35.1586987,136.9240287,AAA001,5,-77,,
37,1600943429,35.1586987,136.9240287,AAA001,5,-77,,
38,1600943429,35.1586987,136.9240287,AAA001,5,-77,,
39,1600943430,35.1586987,136.9240287,AAA001,5,-77,,
40,1600943431,35.1586987,136.9240287,AAA001,5,-77,,
41,1600943432,35.1586987,136.9240287,AAA001,5,-74,,
42,1600943433,35.1586987,136.9240287,AAA001,5,-74,,
43,1600943433,35.1586987,136.9240287,AAA001,5,-74,,
44,1600943434,35.1586987,136.9240287,AAA001,5,-74,,
45,1600943435,35.1586987,136.9240287,AAA001,5,-74,,
46,1600943435,35.1586987,136.9240287,AAA001,5,-74,,
47,1600943436,35.1586987,136.9240287,AAA001,5,-74,,
48,1600943437,35.1586987,136.9240287,AAA001,5,-74,,
49,1600943437,35.1586987,136.9240287,AAA001,5,-74,,
50,1600943438,35.1586987,136.9240287,AAA001,5,-74,,
51,1600943439,35.1586987,136.9240287,AAA001,5,-74,,
52,1600943440,35.1586987,136.9240287,AAA001,5,-74,,
53,1600943440,35.1586987,136.9240287,AAA001,5,-74,,
54,1600943441,35.1586987,136.9240287,AAA001,5,-74,,
55,1600943442,35.1586987,136.9240287,AAA001,5,-74,,
56,1600943442,35.1586987,136.9240287,AAA001,5,-74,,
57,1600943443,35.1586987,136.9240287,AAA001,5,-74,,
58,1600943444,35.1586987,136.9240287,AAA001,5,-74,,
59,1600943445,35.1586987,136.9240287,AAA001,5,-74,,
60,1600943445,35.1586987,136.9240287,AAA001,5,-74,,
61,1600943446,35.1586987,136.9240287,AAA001,5,-74,,
62,1600943447,35.1586987,136.9240287,AAA001,5,-74,,
63,1600943447,35.1586987,136.9240287,AAA001,5,-74,,
64,1600943448,35.1586987,136.9240287,AAA001,5,-74,,
65,1600943449,35.1586987,136.9240287,AAA001,5,-74,,
66,1600943450,35.1586987,136.9240287,AAA001,5,-74,,
67,1600943450,35.1586987,136.9240287,AAA001,5,-74,,
68,1600943451,35.1586987,136.9240287,AAA001,5,-74,,
69,1600943452,35.1586987,136.9240287,AAA001,5,-74,,
70,1600943452,35.1586987,136.9240287,AAA001,5,-74,,
71,1600943453,35.1586987,136.9240287,AAA001,5,-74,,
72,1600943454,35.1586987,136.9240287,AAA001,5,-74,,
73,1600943455,35.1586987,136.9240287,AAA001,5,-74,,
74,1600943455,35.1586987,136.9240287,AAA001,5,-74,,
75,1600943456,35.1586987,136.9240287,AAA001,5,-74,,
76,1600943457,35.1586987,136.9240287,AAA001,5,-74,,
77,1600943457,35.1586987,136.9240287,AAA001,5,-74,,
78,1600943458,35.1586987,136.9240287,AAA001,5,-74,,
79,1600943459,35.1586987,136.9240287,AAA001,5,-74,,
80,1600943459,35.1586987,136.9240287,AAA001,5,-74,,
81,1600943460,35.1586987,136.9240287,AAA001,5,-74,,
82,1600943461,35.1586987,136.9240287,AAA001,5,-74,,
83,1600943462,35.1586987,136.9240287,AAA001,5,-74,,
84,1600943462,35.1586987,136.9240287,AAA001,5,-74,,
85,1600943463,35.1586987,136.9240287,AAA001,5,-74,,
86,1600943464,35.1586987,136.9240287,AAA001,5,-72,,
87,1600943464,35.1586987,136.9240287,AAA001,5,-72,,
88,1600943465,35.1586987,136.9240287,AAA001,5,-72,,
89,1600943466,35.1586987,136.9240287,AAA001,5,-72,,
90,1600943467,35.1586987,136.9240287,AAA001,5,-72,,
91,1600943467,35.1586987,136.9240287,AAA001,5,-72,,
92,1600943468,35.1586987,136.9240287,AAA001,5,-72,,
93,1600943469,35.1586987,136.9240287,AAA001,5,-72,,
94,1600943470,35.1586987,136.9240287,AAA001,5,-72,,
95,1600943471,35.1586987,136.9240287,AAA001,5,-72,,
96,1600943471,35.1586987,136.9240287,AAA001,5,-72,,
97,1600943472,35.1586987,136.9240287,AAA001,5,-72,,
98,1600943473,35.1586987,136.9240287,AAA001,5,-72,,
99,1600943474,35.1586987,136.9240287,AAA001,5,-72,,
100,1600943475,35.1586987,136.9240287,AAA001,5,-72,,
101,1600943627,35.1586904,136.9239076,AAA001,5,-71,,
102,1600943627,35.1586904,136.9239076,AAA001,5,-71,,
103,1600943628,35.1586904,136.9239076,AAA001,5,-71,,
104,1600943629,35.1586904,136.9239076,AAA001,5,-71,,
105,1600943629,35.1586904,136.9239076,AAA001,5,-71,,
106,1600943630,35.1586904,136.9239076,AAA001,5,-71,,
107,1600943631,35.1586904,136.9239076,AAA001,5,-71,,
108,1600943631,35.1586904,136.9239076,AAA001,5,-71,,
109,1600943632,35.1586904,136.9239076,AAA001,5,-71,,
110,1600943633,35.1586904,136.9239076,AAA001,5,-71,,
111,1600943633,35.1586904,136.9239076,AAA001,5,-71,,
112,1600943634,35.1586904,136.9239076,AAA001,5,-71,,
113,1600943635,35.1586904,136.9239076,AAA001,5,-71,,
114,1600943635,35.1586904,136.9239076,AAA001,5,-71,,
115,1600943636,35.1586904,136.9239076,AAA001,5,-71,,
116,1600943637,35.1586904,136.9239076,AAA001,5,-71,,
117,1600943637,35.1586904,136.9239076,AAA001,5,-71,,
118,1600943638,35.1586904,136.9239076,AAA001,5,-71,,
119,1600943639,35.1586904,136.9239076,AAA001,5,-71,,
120,1600943640,35.1586904,136.9239076,AAA001,5,-71,,
121,1600943640,35.1586904,136.9239076,AAA001,5,-71,,
122,1600943641,35.1586904,136.9239076,AAA001,5,-71,,
123,1600943642,35.1586904,136.9239076,AAA001,5,-71,,
124,1600943642,35.1586904,136.9239076,AAA001,5,-71,,
125,1600943643,35.1586904,136.9239076,AAA001,5,-71,,
126,1600943644,35.1586904,136.9239076,AAA001,5,-71,,
127,1600943645,35.1586904,136.9239076,AAA001,5,-71,,
128,1600943645,35.1586904,136.9239076,AAA001,5,-71,,
129,1600943646,35.1586904,136.9239076,AAA001,5,-71,,
130,1600943647,35.1586904,136.9239076,AAA001,5,-71,,
131,1600943647,35.1586904,136.9239076,AAA001,5,-71,,
132,1600943648,35.1586904,136.9239076,AAA001,5,-71,,
133,1600943649,35.1586904,136.9239076,AAA001,5,-71,,
134,1600943650,35.1586904,136.9239076,AAA001,5,-71,,
135,1600943650,35.1586904,136.9239076,AAA001,5,-71,,
136,1600943651,35.1586904,136.9239076,AAA001,5,-71,,
137,1600943651,35.1586904,136.9239076,AAA001,5,-71,,
138,1600943652,35.1586904,136.9239076,AAA001,5,-71,,
139,1600943653,35.1586904,136.9239076,AAA001,5,-71,,
140,1600943654,35.1586904,136.9239076,AAA001,5,-71,,
141,1600943654,35.1586904,136.9239076,AAA001,5,-71,,
142,1600943655,35.1586904,136.9239076,AAA001,5,-71,,
143,1600943656,35.1586904,136.9239076,AAA001,5,-71,,
144,1600943656,35.1586904,136.9239076,AAA001,5,-71,,
145,1600943657,35.1586904,136.9239076,AAA001,5,-71,,
146,1600943658,35.1586904,136.9239076,AAA001,5,-71,,
147,1600943658,35.1586904,136.9239076,AAA001,5,-71,,
148,1600943659,35.1586904,136.9239076,AAA001,5,-71,,
149,1600943660,35.1586904,136.9239076,AAA001,5,-70,,
150,1600943660,35.1586904,136.9239076,AAA001,5,-70,,
151,1600943661,35.1586904,136.9239076,AAA001,5,-70,,
152,1600943662,35.1586904,136.9239076,AAA001,5,-70,,
153,1600943662,35.1586904,136.9239076,AAA001,5,-70,,
154,1600943663,35.1586904,136.9239076,AAA001,5,-70,,
155,1600943664,35.1586904,136.9239076,AAA001,5,-70,,
156,1600943664,35.1586904,136.9239076,AAA001,5,-70,,
157,1600943665,35.1586904,136.9239076,AAA001,5,-70,,
158,1600943666,35.1586904,136.9239076,AAA001,5,-70,,
159,1600943667,35.1586904,136.9239076,AAA001,5,-70,,
160,1600943667,35.1586904,136.9239076,AAA001,5,-70,,
161,1600943668,35.1586904,136.9239076,AAA001,5,-70,,
162,1600943669,35.1586904,136.9239076,AAA001,5,-70,,
163,1600943669,35.1586904,136.9239076,AAA001,5,-70,,
164,1600943670,35.1586904,136.9239076,AAA001,5,-70,,
165,1600943671,35.1586904,136.9239076,AAA001,5,-70,,
166,1600943672,35.1586904,136.9239076,AAA001,5,-70,,
167,1600943672,35.1586904,136.9239076,AAA001,5,-70,,
168,1600943673,35.1586904,136.9239076,AAA001,5,-70,,
169,1600943674,35.1586904,136.9239076,AAA001,5,-70,,
170,1600943674,35.1586904,136.9239076,AAA001,5,-70,,
171,1600943675,35.1586904,136.9239076,AAA001,5,-70,,
172,1600943676,35.1586904,136.9239076,AAA001,5,-70,,
173,1600943676,35.1586904,136.9239076,AAA001,5,-70,,
174,1600943677,35.1586904,136.9239076,AAA001,5,-70,,
175,1600943678,35.1586904,136.9239076,AAA001,5,-70,,
176,1600943678,35.1586904,136.9239076,AAA001,5,-70,,
177,1600943679,35.1586904,136.9239076,AAA001,5,-70,,
178,1600943680,35.1586904,136.9239076,AAA001,5,-70,,
179,1600943680,35.1586904,136.9239076,AAA001,5,-70,,
180,1600943681,35.1586904,136.9239076,AAA001,5,-70,,
181,1600943682,35.1586904,136.9239076,AAA001,5,-70,,
182,1600943682,35.1586904,136.9239076,AAA001,5,-70,,
183,1600943683,35.1586904,136.9239076,AAA001,5,-70,,
184,1600943684,35.1586904,136.9239076,AAA001,5,-70,,
185,1600943684,35.1586904,136.9239076,AAA001,5,-70,,
186,1600943685,35.1586904,136.9239076,AAA001,5,-70,,
187,1600943686,35.1586904,136.9239076,AAA001,5,-70,,
188,1600943686,35.1586904,136.9239076,AAA001,5,-70,,
189,1600943687,35.1586904,136.9239076,AAA001,5,-70,,
190,1600943688,35.1586904,136.9239076,AAA001,5,-70,,
191,1600943688,35.1586904,136.9239076,AAA001,5,-70,,
192,1600943689,35.1586904,136.9239076,AAA001,5,-70,,
193,1600943690,35.1586904,136.9239076,AAA001,5,-70,,
194,1600943691,35.1586904,136.9239076,AAA001,5,-70,,
195,1600943691,35.1586904,136.9239076,AAA001,5,-70,,
196,1600943692,35.1586904,136.9239076,AAA001,5,-70,,
197,1600943693,35.1586904,136.9239076,AAA001,5,-67,,
198,1600943693,35.1586904,136.9239076,AAA001,5,-67,,
199,1600943694,35.1586904,136.9239076,AAA001,5,-67,,
200,1600943695,35.1586904,136.9239076,AAA001,5,-67,,
201,1600943775,35.1587804,136.92391,AAA001,5,-68,,
202,1600943776,35.1587804,136.92391,AAA001,5,-68,,
203,1600943777,35.1587804,136.92391,AAA001,5,-68,,
204,1600943778,35.1587804,136.92391,AAA001,5,-68,,
205,1600943778,35.1587804,136.92391,AAA001,5,-68,,
206,1600943779,35.1587804,136.92391,AAA001,5,-68,,
207,1600943780,35.1587804,136.92391,AAA001,5,-68,,
208,1600943781,35.1587804,136.92391,AAA001,5,-68,,
209,1600943781,35.1587804,136.92391,AAA001,5,-68,,
210,1600943782,35.1587804,136.92391,AAA001,5,-68,,
211,1600943783,35.1587804,136.92391,AAA001,5,-68,,
212,1600943784,35.1587804,136.92391,AAA001,5,-68,,
213,1600943784,35.1587804,136.92391,AAA001,5,-68,,
214,1600943785,35.1587804,136.92391,AAA001,5,-68,,
215,1600943785,35.1587804,136.92391,AAA001,5,-68,,
216,1600943786,35.1587804,136.92391,AAA001,5,-68,,
217,1600943787,35.1587804,136.92391,AAA001,5,-68,,
218,1600943788,35.1587804,136.92391,AAA001,5,-68,,
219,1600943788,35.1587804,136.92391,AAA001,5,-68,,
220,1600943789,35.1587804,136.92391,AAA001,5,-68,,
221,1600943790,35.1587804,136.92391,AAA001,5,-68,,
222,1600943790,35.1587804,136.92391,AAA001,5,-68,,
223,1600943791,35.1587804,136.92391,AAA001,5,-68,,
224,1600943792,35.1587804,136.92391,AAA001,5,-68,,
225,1600943793,35.1587804,136.92391,AAA001,5,-68,,
226,1600943793,35.1587804,136.92391,AAA001,5,-71,,
227,1600943794,35.1587804,136.92391,AAA001,5,-71,,
228,1600943795,35.1587804,136.92391,AAA001,5,-71,,
229,1600943795,35.1587804,136.92391,AAA001,5,-71,,
230,1600943796,35.1587804,136.92391,AAA001,5,-71,,
231,1600943797,35.1587804,136.92391,AAA001,5,-71,,
232,1600943797,35.1587804,136.92391,AAA001,5,-71,,
233,1600943798,35.1587804,136.92391,AAA001,5,-71,,
234,1600943799,35.1587804,136.92391,AAA001,5,-71,,
235,1600943800,35.1587804,136.92391,AAA001,5,-71,,
236,1600943800,35.1587804,136.92391,AAA001,5,-71,,
237,1600943801,35.1587804,136.92391,AAA001,5,-71,,
238,1600943802,35.1587804,136.92391,AAA001,5,-71,,
239,1600943803,35.1587804,136.92391,AAA001,5,-71,,
240,1600943803,35.1587804,136.92391,AAA001,5,-71,,
241,1600943804,35.1587804,136.92391,AAA001,5,-71,,
242,1600943805,35.1587804,136.92391,AAA001,5,-71,,
243,1600943805,35.1587804,136.92391,AAA001,5,-71,,
244,1600943806,35.1587804,136.92391,AAA001,5,-71,,
245,1600943807,35.1587804,136.92391,AAA001,5,-71,,
246,1600943808,35.1587804,136.92391,AAA001,5,-71,,
247,1600943808,35.1587804,136.92391,AAA001,5,-71,,
248,1600943809,35.1587804,136.92391,AAA001,5,-71,,
249,1600943810,35.1587804,136.92391,AAA001,5,-71,,
250,1600943810,35.1587804,136.92391,AAA001,5,-71,,
251,1600943811,35.1587804,136.92391,AAA001,5,-71,,
252,1600943812,35.1587804,136.92391,AAA001,5,-71,,
253,1600943812,35.1587804,136.92391,AAA001,5,-71,,
254,1600943813,35.1587804,136.92391,AAA001,5,-71,,
255,1600943813,35.1587804,136.92391,AAA001,5,-71,,
256,1600943814,35.1587804,136.92391,AAA001,5,-71,,
257,1600943815,35.1587804,136.92391,AAA001,5,-71,,
258,1600943815,35.1587804,136.92391,AAA001,5,-71,,
259,1600943816,35.1587804,136.92391,AAA001,5,-71,,
